household_id,enerc.kcal.w.1,enerc.kcal.w.2
348,2268.14079453468,1385.75467946723
354,2774.77034039328,1240.46781930947
53,3103.50377095193,2074.60971750832
18,2802.36072476745,2146.02527616262
211,1297.53827327907,1191.36858698678
130,1633.92462498546,1425.32667452782
139,1914.47357658629,1221.54525724596
159,1622.96223920445,1409.75383664951
212,2817.13285021186,2057.59307625771
147,1043.83866884898,1100.16386567175
141,1119.47387916553,857.050374502406
164,1236.83125517376,1366.47039061904
148,1522.75904194465,1453.93193206787
52,1286.54300435662,1174.1313760376
161,916.27908454749,1168.03361507401
35,1287.98133428401,1552.59555562961
204,3116.70566967249,1562.77741712165
363,1993.30585939395,1401.81414007378
158,1574.16243412018,1415.68764962897
234,1553.59913943851,1354.62232821226
124,2002.31017978072,1519.46927742258
150,2066.94621023089,1099.63714153722
222,1428.15584671766,1062.52093391851
100,534.671407547981,1412.42094175229
137,800.236352306187,1529.38306648242
338,688.310834960938,1476.88881381035
220,3057.72615485549,1978.46538086176
65,958.066214073449,1235.99901780784
149,1624.32447449648,1830.85782992601
119,1497.01549087226,1090.39025945768
73,1950.82435142457,1010.15420275986
353,2059.56932323374,2836.3547876668
343,1610.19976374254,1971.82082406729
70,1756.2480801754,730.27710459958
22,3186.54070162487,1582.09130902767
127,919.40131108743,1231.00762149677
339,3380.52322320224,669.569406242371
142,1653.31688128552,1886.92591155505
179,1072.08108799103,1101.48979513689
36,2758.57312216443,1356.59838190269
14,1040.35248444363,1663.4102390244
38,3141.73089221001,1564.86108235908
238,1441.21123760843,1454.61923011208
218,2351.02331433821,1051.74944659024
47,2167.57468872619,1190.36709603786
17,2100.10650000048,1285.5337818539101
321,1918.91194237858,1355.95756051585
185,198.86315612793,1827.437708143
332,974.299858579934,1068.62533203125
345,1806.28548163652,1513.2748157649
80,1465.32301907279,1404.26468939483
355,1546.0224848671,2431.14063948515
133,2141.60099468342,1443.83520913243
24,2359.36199109018,2025.56402993679
63,1186.28336720335,1657.27723500013
350,1191.2834659586,1372.47878268003
347,1245.82461341441,1207.89702017009
362,1999.906742616,682.112261928171
62,1129.0056642244,1208.17456647813
162,1620.55292536139,1277.23614052442
360,2314.15983222723,1445.23849191174
